algoritmo,n,tipo,dominio,muestra,tiempo_us,memoria_kb
sort,10,aleatorio,D1,c,8,3428
mergeSort,10,aleatorio,D1,c,3,3436
quickSort,10,aleatorio,D1,c,1,3332
patienceSort,10,aleatorio,D1,c,3,3436
sort,10,aleatorio,D7,a,2,3436
mergeSort,10,aleatorio,D7,a,3,3436
quickSort,10,aleatorio,D7,a,2,3436
patienceSort,10,aleatorio,D7,a,4,3428
sort,10,aleatorio,D7,b,2,3336
mergeSort,10,aleatorio,D7,b,2,3376
quickSort,10,aleatorio,D7,b,2,3436
patienceSort,10,aleatorio,D7,b,3,3332
sort,10,aleatorio,D7,c,4,3436
mergeSort,10,aleatorio,D7,c,3,3428
quickSort,10,aleatorio,D7,c,1,3332
patienceSort,10,aleatorio,D7,c,4,3436
sort,10,ascendente,D1,a,2,3436
mergeSort,10,ascendente,D1,a,3,3428
quickSort,10,ascendente,D1,a,2,3436
patienceSort,10,ascendente,D1,a,4,3436
sort,10,ascendente,D1,b,2,3348
mergeSort,10,ascendente,D1,b,2,3436
quickSort,10,ascendente,D1,b,4,3336
patienceSort,10,ascendente,D1,b,10,3336
sort,10,ascendente,D1,c,2,3436
mergeSort,10,ascendente,D1,c,10,3436
quickSort,10,ascendente,D1,c,3,3436
patienceSort,10,ascendente,D1,c,6,3336
sort,10,ascendente,D7,a,2,3436
mergeSort,10,ascendente,D7,a,4,3436
quickSort,10,ascendente,D7,a,1,3436
patienceSort,10,ascendente,D7,a,4,3436
sort,10,ascendente,D7,b,1,3428
mergeSort,10,ascendente,D7,b,4,3436
quickSort,10,ascendente,D7,b,2,3436
patienceSort,10,ascendente,D7,b,4,3436
sort,10,ascendente,D7,c,1,3428
mergeSort,10,ascendente,D7,c,7,3436
quickSort,10,ascendente,D7,c,2,3436
patienceSort,10,ascendente,D7,c,4,3380
sort,10,descendente,D1,a,2,3336
mergeSort,10,descendente,D1,a,2,3336
quickSort,10,descendente,D1,a,3,3436
patienceSort,10,descendente,D1,a,4,3436
sort,10,descendente,D1,b,2,3376
mergeSort,10,descendente,D1,b,6,3428
quickSort,10,descendente,D1,b,2,3436
patienceSort,10,descendente,D1,b,24,3432
sort,10,descendente,D1,c,1,3436
mergeSort,10,descendente,D1,c,2,3328
quickSort,10,descendente,D1,c,1,3436
patienceSort,10,descendente,D1,c,3,3436
sort,10,descendente,D7,a,1,3336
mergeSort,10,descendente,D7,a,4,3436
quickSort,10,descendente,D7,a,1,3336
patienceSort,10,descendente,D7,a,4,3324
sort,10,descendente,D7,b,2,3380
mergeSort,10,descendente,D7,b,3,3428
quickSort,10,descendente,D7,b,1,3436
patienceSort,10,descendente,D7,b,4,3436
sort,10,descendente,D7,c,2,3436
mergeSort,10,descendente,D7,c,2,3436
quickSort,10,descendente,D7,c,1,3436
patienceSort,10,descendente,D7,c,3,3428
